speed_index,env_index,replicate,command_vx,samples,mean_vx,bias_vx,mae_vx,rmse_vx,std_vx,completion,tracking_fraction,mean_abs_vy,mean_abs_yaw,mean_power_w,energy_j,distance_m,mechanical_cot,failure_time_s,survived,fell,timed_out,tracking_success
0,0,0,0.0,750,0.031148229,0.031148229,0.031148229,0.031799395,0.006402285,,1.0,0.017541962,0.05531339,7.671483,115.072235,0.46722338,1.560637,,True,False,False,True
0,1,1,0.0,750,0.03115429,0.03115429,0.03115429,0.031804178,0.0063965684,,1.0,0.017542168,0.05528378,7.6728177,115.092415,0.46731445,1.5606065,,True,False,False,True
0,2,2,0.0,750,0.031069562,0.031069562,0.031069562,0.03172309,0.0064059887,,1.0,0.01757816,0.055354573,7.6757526,115.136375,0.4660439,1.5654589,,True,False,False,True
0,3,3,0.0,750,0.031136101,0.031136101,0.031136101,0.031788636,0.00640786,,1.0,0.017558396,0.055317648,7.669974,115.0497,0.4670414,1.5609393,,True,False,False,True
0,4,4,0.0,750,0.03117495,0.03117495,0.03117495,0.03182864,0.006417536,,1.0,0.017563332,0.055258073,7.6735115,115.10264,0.46762428,1.5597111,,True,False,False,True
0,5,5,0.0,750,0.031158265,0.031158265,0.031158265,0.03180555,0.0063839983,,1.0,0.017507486,0.0552706,7.6697173,115.04575,0.46737397,1.5597751,,True,False,False,True
0,6,6,0.0,750,0.031196993,0.031196993,0.031196993,0.031846758,0.0064002844,,1.0,0.017529894,0.0552659,7.675525,115.132935,0.4679545,1.5590206,,True,False,False,True
0,7,7,0.0,750,0.03116446,0.03116446,0.03116446,0.031820618,0.0064286874,,1.0,0.017589184,0.05530597,7.6698456,115.04775,0.46746728,1.5594909,,True,False,False,True
0,8,8,0.0,750,0.031077001,0.031077001,0.031077001,0.031729203,0.0064001842,,1.0,0.017551975,0.05534424,7.6766367,115.14968,0.46615517,1.565266,,True,False,False,True
0,9,9,0.0,750,0.031169657,0.031169657,0.031169657,0.03182134,0.0064070425,,1.0,0.017553985,0.055291276,7.673753,115.10625,0.4675449,1.5600246,,True,False,False,True
0,10,10,0.0,750,0.031232087,0.031232087,0.031232087,0.031880938,0.006399284,,1.0,0.017520286,0.05520396,7.6709433,115.06423,0.46848148,1.5563376,,True,False,False,True
0,11,11,0.0,750,0.0311557,0.0311557,0.0311557,0.031806458,0.0064010164,,1.0,0.017546684,0.055303223,7.672611,115.08922,0.46733537,1.5604932,,True,False,False,True
0,12,12,0.0,750,0.031178843,0.031178843,0.031178843,0.03183003,0.006405516,,1.0,0.017541232,0.05524474,7.670825,115.06236,0.46768215,1.5589722,,True,False,False,True
0,13,13,0.0,750,0.031165617,0.031165617,0.031165617,0.03181917,0.006415899,,1.0,0.017564623,0.055266943,7.6703954,115.05588,0.46748424,1.5595444,,True,False,False,True
0,14,14,0.0,750,0.03125729,0.03125729,0.03125729,0.03190721,0.0064071743,,1.0,0.017533898,0.055185344,7.6669602,115.00438,0.46885973,1.5542731,,True,False,False,True
0,15,15,0.0,750,0.031191483,0.031191483,0.031191483,0.031842027,0.0064035896,,1.0,0.017539034,0.055263728,7.666533,114.99793,0.4678719,1.5574673,,True,False,False,True
1,16,0,0.2,750,0.2067017,0.0067017633,0.010584778,0.013610607,0.011847897,,1.0,0.015981512,0.046134364,9.709928,145.64896,3.1005273,0.29766497,,True,False,False,True
1,17,1,0.2,750,0.2065475,0.0065476475,0.010496748,0.013448755,0.011750496,,1.0,0.015886687,0.04547477,9.697382,145.46078,3.098215,0.29750225,,True,False,False,True
1,18,2,0.2,750,0.20656902,0.0065691434,0.010517534,0.013552066,0.011855126,,1.0,0.015932089,0.046458963,9.739624,146.0942,3.0985372,0.29876667,,True,False,False,True
1,19,3,0.2,750,0.20663701,0.0066368985,0.010538158,0.013519084,0.011776147,,1.0,0.015935367,0.0456497,9.696364,145.4456,3.0995562,0.2973425,,True,False,False,True
1,20,4,0.2,750,0.20678039,0.0067804935,0.010617447,0.013696003,0.011901543,,1.0,0.015935091,0.046253905,9.733654,146.00482,3.101708,0.2982787,,True,False,False,True
1,21,5,0.2,750,0.20667373,0.006673707,0.010564527,0.013620141,0.011871769,,1.0,0.015968544,0.04636081,9.73607,146.04097,3.1001053,0.29850677,,True,False,False,True
1,22,6,0.2,750,0.2066432,0.006643121,0.010536915,0.013531559,0.011787847,,1.0,0.015934655,0.045740686,9.701733,145.52599,3.0996468,0.29749814,,True,False,False,True
1,23,7,0.2,750,0.20663723,0.006637174,0.010536883,0.013526371,0.011786266,,1.0,0.015896162,0.045567658,9.708249,145.6236,3.0995588,0.29770613,,True,False,False,True
