time_s,command_vx,mean_vx,mean_vy,mean_yaw,mean_power_w,alive_fraction,within_tolerance_fraction
0.02,0.0,0.038121693,-0.00015543343,-0.1368878,12.501593,1.0,1.0
0.02,0.2,0.1945602,0.011795925,-0.054253574,8.342777,1.0,1.0
0.02,0.4,0.40579414,-0.01679495,-0.06199702,13.53894,1.0,1.0
0.02,0.6,0.5987661,0.01790251,-0.006127133,13.414738,1.0,1.0
0.02,0.8,0.8531686,0.070965536,0.06658043,24.952778,1.0,1.0
0.02,1.0,1.0014267,0.06562576,-0.033750147,38.67501,1.0,1.0
0.02,1.2,1.1620475,0.067154616,-0.053400744,31.573658,1.0,1.0
0.02,1.4,1.3695519,0.051051207,-0.06275399,91.806244,1.0,1.0
0.02,1.6,1.6089652,0.0430946,-0.12348556,82.94496,1.0,1.0
0.02,1.8,1.7940229,0.022999108,-0.0667195,122.2304,1.0,1.0
0.02,2.0,2.0474234,0.034234375,-0.056922566,140.85907,1.0,1.0
0.02,2.2,2.187213,0.029580897,0.013550028,460.30792,1.0,1.0
0.02,2.4,2.480855,0.022523992,0.008754335,187.8269,1.0,1.0
0.02,2.6,2.7181392,0.061035056,0.10341427,177.38725,1.0,1.0
0.02,2.8,2.697061,0.023273446,0.20885834,736.734,1.0,0.375
0.02,3.0,2.950882,0.07764387,-0.08115191,255.16641,1.0,1.0
0.04,0.0,0.03555229,0.011025733,-0.12429419,12.695951,1.0,1.0
0.04,0.2,0.19167194,0.0024942828,-0.054005384,5.8233986,1.0,1.0
0.04,0.4,0.42648733,-0.022902695,-0.09613669,15.9704895,1.0,1.0
0.04,0.6,0.5855389,0.020067835,-0.0019142721,17.053082,1.0,1.0
0.04,0.8,0.84326565,0.07065776,0.03634975,33.455765,1.0,1.0
0.04,1.0,1.0438828,0.06535253,-0.077177495,39.761276,1.0,1.0
0.04,1.2,1.1756994,0.07440765,-0.04411333,49.12475,1.0,1.0
0.04,1.4,1.3250012,0.040216126,-0.12052731,88.78056,1.0,1.0
0.04,1.6,1.6486967,0.05007311,-0.10782833,100.53725,1.0,1.0
0.04,1.8,1.834137,0.021712856,0.0055454625,107.284485,1.0,1.0
0.04,2.0,2.0893164,0.039567858,-0.11931835,121.32982,1.0,1.0
0.04,2.2,2.1740267,0.02802293,0.10687676,242.6965,1.0,1.0
0.04,2.4,2.502869,0.013725016,0.1307759,152.02824,1.0,1.0
0.04,2.6,2.742146,0.044955425,0.29126173,111.9836,1.0,0.0
0.04,2.8,2.6939797,-0.01204785,0.15223989,315.08057,1.0,0.75
0.04,3.0,2.9743156,0.09504575,-0.17375167,183.75516,1.0,0.875
0.06,0.0,0.031449907,0.016385406,-0.09176304,10.966734,1.0,1.0
0.06,0.2,0.19158316,-0.0044640764,-0.05080373,8.192739,1.0,1.0
0.06,0.4,0.43625894,-0.018556166,-0.14514008,12.054638,1.0,1.0
0.06,0.6,0.5767957,0.021519799,-0.00034907396,16.981668,1.0,1.0
0.06,0.8,0.80605185,0.06451014,-0.031838506,15.207129,1.0,1.0
