time_s,command_vx,mean_vx,mean_vy,mean_yaw,mean_power_w,alive_fraction,within_tolerance_fraction
0.02,0.0,-0.00834736,-0.012765251,0.047122832,6.3343935,1.0,1.0
0.02,0.2,0.1914905,-0.015305188,-0.106023364,13.752634,1.0,1.0
0.02,0.4,0.35217804,-0.007823888,-0.059664506,7.7427692,1.0,1.0
0.02,0.6,0.5746814,0.015189719,0.011702929,16.31749,1.0,1.0
0.02,0.8,0.7984829,0.042831104,0.08440795,28.890163,1.0,1.0
0.02,1.0,1.0225878,0.05250763,0.14426959,58.925346,1.0,1.0
0.02,1.2,1.2428284,0.052371256,0.08594895,89.95845,1.0,1.0
0.02,1.4,1.4460151,0.044163495,0.039794557,98.72362,1.0,1.0
0.02,1.6,1.6310549,0.026421465,0.02641733,158.78195,1.0,1.0
0.02,1.8,1.8025885,0.0053486107,0.15865007,268.30402,1.0,1.0
0.02,2.0,1.9598266,-0.044566795,-0.10141357,187.3154,1.0,1.0
0.02,2.2,2.1273694,-0.0540491,-0.2487076,178.14505,1.0,0.0
0.02,2.4,2.3674424,-0.07819725,-0.19450217,411.50195,1.0,0.5625
0.02,2.6,2.5340636,-0.15075663,-0.36020207,484.55316,1.0,0.0
0.02,2.8,2.704886,-0.0793924,-0.39277467,394.9551,1.0,0.0
0.02,3.0,2.9397194,-0.032565046,-0.45428777,347.8131,1.0,0.0
0.02,3.2,3.1372242,0.010069132,-0.28220096,165.4306,1.0,0.0
0.02,3.4,3.2736974,0.04859539,-0.032909647,259.37122,1.0,1.0
0.02,3.6,3.3760529,0.044898078,-0.051797975,279.72192,1.0,0.6875
0.02,3.8,3.4543586,0.063064106,-0.16056316,302.89175,1.0,0.5
0.02,4.0,-0.008495025,-0.031426642,-0.011037021,9.715221,1.0,0.0
0.02,4.2,-0.002691593,-0.0073771058,0.024421725,4.365055,1.0,0.0
0.02,4.4,-0.0025659378,-0.0079874005,0.024907146,4.473692,1.0,0.0
0.02,4.6,-0.0021206494,-0.0031352653,0.01617767,4.695943,1.0,0.0
0.02,4.8,-0.0022798418,-0.0051660533,0.014853466,7.4454803,1.0,0.0
0.02,5.0,-0.004228751,-0.003080681,0.05020365,7.6713114,1.0,0.0
0.04,0.0,-0.0066888155,-0.014287652,0.071944654,2.8297453,1.0,1.0
0.04,0.2,0.1818851,-0.01788747,-0.05322227,10.719261,1.0,1.0
0.04,0.4,0.35855824,-0.008128688,-0.071767956,12.12452,1.0,1.0
0.04,0.6,0.55925405,0.010943688,-0.009110221,12.958885,1.0,1.0
0.04,0.8,0.781073,0.029069616,0.058961466,28.534363,1.0,1.0
0.04,1.0,1.0035913,0.039521188,0.15025012,58.685326,1.0,1.0
0.04,1.2,1.221978,0.048596192,0.1719997,103.638435,1.0,1.0
0.04,1.4,1.4230962,0.044311248,0.14819846,157.50003,1.0,1.0
0.04,1.6,1.612581,0.020668227,0.15327577,209.41809,1.0,1.0
0.04,1.8,1.7815604,-0.005116592,0.095739126,191.40619,1.0,1.0
0.04,2.0,1.9447355,-0.04841388,-0.20808278,93.00944,1.0,0.1875
0.04,2.2,2.1705017,-0.046528637,-0.22034445,205.90042,1.0,0.1875
0.04,2.4,2.3544252,-0.11581841,-0.39162356,380.14624,1.0,0.0
0.04,2.6,2.4888089,-0.12665015,-0.34146702,499.2923,1.0,0.0
0.04,2.8,2.733583,-0.066524595,-0.4051943,284.71713,1.0,0.0
0.04,3.0,2.947927,-0.017481834,-0.3000974,199.76685,1.0,0.0
0.04,3.2,3.1144161,-0.00254751,0.21797109,242.3334,1.0,0.3125
0.04,3.4,3.242363,0.00993906,0.62291193,257.5421,1.0,0.0
0.04,3.6,3.342095,0.003380075,0.6529764,241.11426,1.0,0.0
0.04,3.8,3.4183695,0.029625427,0.61232245,237.16104,1.0,0.0
0.04,4.0,-0.006042355,-0.020613868,-0.013756188,7.952454,1.0,0.0
